Molecule Name,Smiles,Standard Type,Standard Value,Standard Units,pChEMBL Value,Target Name,Comment,Action Type,Assay Description,Document Year
,Cc1c(Cl)c(N2CCC(CN)C2)nc2[nH]cc(C(=O)O)c(=O)c12,Ki,6309.57,nM,,Glycogen synthase kinase-3 beta,inactive,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,OC1CCN(c2ncnc3[nH]cc(-c4ccccc4)c23)CC1,Ki,1584.89,nM,5.8,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,N#CC(=Cc1ccc(O)c(O)c1)C(=O)NCc1ccccc1,Ki,1258.93,nM,5.9,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,O=C(O)c1ccc(CN2CCC(CNC(=O)c3n[nH]c4ccc(-c5ccccc5F)cc34)CC2)o1,IC50,20.0,nM,7.7,Glycogen synthase kinase-3 beta,335735,,"LanthaScreen TR-FRET Assay: Activity on human GSK-3beta was assessed using the following methods (according to Meijer et al., Chem. Biol., 2003-10:1255-1266).In a first screening assay, compounds were tested in duplicate at a concentration of 10 uM.Human recombinant enzyme GSK-3beta was incubated for 90 minutes at 22° C. in the presence of compounds or vehicle in a reaction buffer containing ATP plus 100 nM unphosphorylated specific substrate peptide (Ulight-CFFKNIVTPRTPPPSQGK-amide). Substrate phosphorylation was measured by LANCE technology (PerkinElmer, Conn., USA). The results, reported in the following Table 4, are expressed as a percent of inhibition of control specific activity obtained in the presence of the test compounds (as % inhibition at 10 um). In a second assay, the same compounds were assayed at five concentrations ranging from 100 uM to 10 nM with ten-fold dilutions in duplicate.",2015.0
,O=C(O)c1ccc(CN2CCC(CNC(=O)c3n[nH]c4ccc(Br)cc34)CC2)o1,IC50,210.0,nM,6.68,Glycogen synthase kinase-3 beta,335737,,"LanthaScreen TR-FRET Assay: Activity on human GSK-3beta was assessed using the following methods (according to Meijer et al., Chem. Biol., 2003-10:1255-1266).In a first screening assay, compounds were tested in duplicate at a concentration of 10 uM.Human recombinant enzyme GSK-3beta was incubated for 90 minutes at 22° C. in the presence of compounds or vehicle in a reaction buffer containing ATP plus 100 nM unphosphorylated specific substrate peptide (Ulight-CFFKNIVTPRTPPPSQGK-amide). Substrate phosphorylation was measured by LANCE technology (PerkinElmer, Conn., USA). The results, reported in the following Table 4, are expressed as a percent of inhibition of control specific activity obtained in the presence of the test compounds (as % inhibition at 10 um). In a second assay, the same compounds were assayed at five concentrations ranging from 100 uM to 10 nM with ten-fold dilutions in duplicate.",2015.0
,Cn1cc(C2=C(c3coc4cc(OCC5CC5)ccc34)C(=O)NC2=O)c2cc(F)c(Cl)cc21,IC50,1290.0,nM,5.89,Glycogen synthase kinase-3 beta,,,Inhibition of human GSK3-beta by scintillation counting,2009.0
,c1ccn2c(NC3CCCCC3)c(-c3ccc4[nH]ncc4c3)nc2c1,Ki,2611.0,nM,5.58,Glycogen synthase kinase-3 beta,,,Inhibition of GSK3-beta,2011.0
,CCCCNc1c(-c2ccc3[nH]ncc3c2)nc2ncccn12,Ki,19.0,nM,7.72,Glycogen synthase kinase-3 beta,,,Inhibition of GSK3-beta,2011.0
,Cc1cc(Nc2n[nH]c3ncc(F)cc23)nc(-c2ccccc2)c1C,IC50,20.0,nM,7.7,Glycogen synthase kinase-3 beta,251330,,"Inhibition Assay: Compounds of the present invention were screened for their ability to inhibit GSK-3β (AA 1-420) activity using a standard coupled enzyme system (Fox et al., Protein Sci. 1998, 7, 2249). Reactions were carried out in a solution containing 100 mM HEPES (pH 7.5), 10 mM MgCl2, 25 mM NaCl, 300 μM NADH, 1 mM DTT and 1.5% DMSO. Final substrate concentrations in the assay were 20 μM ATP (Sigma Chemicals, St Louis, Mo.) and 300 μM peptide (American Peptide, Sunnyvale, Calif.). Reactions were carried out at 30 C. and 20 nM GSK-3β. Final concentrations of the components of the coupled enzyme system were 2.5 mM phosphoenolpyruvate, 300 μM NADH, 30 μg/ml pyruvate kinase and 10 μg/ml lactate dehydrogenase.",2014.0
,COC(=O)c1ccc2c(c1)[nH]c1c(NC(=O)C3CC3)nccc12,IC50,71.0,nM,7.15,Glycogen synthase kinase-3 beta,,INHIBITOR,Inhibition of human full length GSK3beta expressed in baculovirus in Sf9 insect cells using YRRAAVPPSPSLSRHSSPHQ(pS)EDEEE as substrate by ADP-Glo kinase assay,2021.0
,Cc1ccc(C)c(N2CCN(CCCNC(=O)c3nc(-c4cncnc4)no3)CC2)c1,IC50,3380.0,nM,5.47,Glycogen synthase kinase-3 beta,,,Inhibition of GSK3-beta assessed as breakdown of glycogen synthase derived substrate peptide by ADP hunter assay in presence of 100 uM ATP,2008.0
,COc1ccccc1N1CCN(CCCNC(=O)c2nc(-c3cccnc3)no2)CC1,IC50,410.0,nM,6.39,Glycogen synthase kinase-3 beta,,,Inhibition of GSK3-beta assessed as breakdown of glycogen synthase derived substrate peptide by ADP hunter assay in presence of 100 uM ATP,2008.0
,O=C(O)c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,IC50,50.0,nM,7.3,Glycogen synthase kinase-3 beta,,,Inhibition of GSK3-beta by scintillation proximity assay,2008.0
,Cn1c(NCC(=O)c2cccc(F)c2)nc(-c2ccncc2)cc1=O,IC50,25.0,nM,7.6,Glycogen synthase kinase-3 beta,,,Inhibition of human recombinant GSK3beta using prephosphorylated GS1 peptide as substrate after 1 hr by liquid scintillation spectrometry,2013.0
,Cn1c(CCCc2ccccc2)nc(-c2ccncc2)cc1=O,IC50,90.0,nM,7.05,Glycogen synthase kinase-3 beta,,,Inhibition of human recombinant GSK3beta using prephosphorylated GS1 peptide as substrate after 1 hr by liquid scintillation spectrometry,2013.0
,CC(C)c1nc(-c2ccncc2)cc(=O)[nH]1,IC50,2100.0,nM,5.68,Glycogen synthase kinase-3 beta,,,Inhibition of human recombinant GSK3beta using prephosphorylated GS1 peptide as substrate after 1 hr by liquid scintillation spectrometry,2013.0
,CC(CCC(=O)O)(c1ccc(O)c(N)c1)c1ccc(O)c(N)c1,Ki,1995.26,nM,,Glycogen synthase kinase-3 beta,inactive,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,O=C(NCc1ccc(Cl)cc1)c1cc2c(-c3ccccc3)n[nH]c2s1,Ki,6309.57,nM,,Glycogen synthase kinase-3 beta,inactive,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,CC(C)Oc1ccc(-c2noc(-c3ccc(NC4CCC(C(=O)O)C4)cc3)n2)cc1Cl,Ki,6309.57,nM,,Glycogen synthase kinase-3 beta,inactive,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,CCCCNc1cc(-c2ccncc2)cc2[nH]nc(N)c12,Ki,398.11,nM,6.4,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,Cc1cccc(C2(c3cccc(C)c3)CC2C(=O)Nc2ccncc2)c1,Ki,398.11,nM,6.4,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,N#CC1=C(N)n2c(sc(=Cc3ccco3)c2=O)=C(C(N)=O)C1c1ccco1,Ki,251.19,nM,6.6,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,N#Cc1ccc(F)c(-c2c[nH]c(=O)c3cc(-c4ccncc4)sc23)c1,IC50,79.43,nM,7.1,Glycogen synthase kinase-3 beta,,,Inhibition of human flag-tagged GSK3-beta expressed in HEK-MSRII cells assessed as CRMP-2 phosphorylation by alphaLISA assay,2011.0
,O=C1Nc2cc(Br)ccc2/C1=C1\Nc2ccccc2\C1=N/O,IC50,5.0,nM,8.3,Glycogen synthase kinase-3 beta,,INHIBITOR,Inhibition of GSK-3beta (unknown origin),2023.0
,COc1ccccc1-c1c2c(nc3[nH]nc(C)c13)CC(C)(C)CC2=O,IC50,54.0,nM,7.27,Glycogen synthase kinase-3 beta,,INHIBITOR,Inhibition of human wildtype full length GSK-3beta,2023.0
,O=C(NCCCn1cnc(Cl)c1Cl)c1ccc(O)c2[nH]c(-c3cccs3)nc12,IC50,8.0,nM,8.1,Glycogen synthase kinase-3 beta,,,Inhibition of GSK3-beta,2012.0
,COc1cc(C2=C(c3cn(CCCOC(=O)C(N)CC(C)C)c4ccccc34)C(=O)NC2=O)cc(OC)c1OC,IC50,134.0,nM,6.87,Glycogen synthase kinase-3 beta,284792,,"Kinase Assay: The effect of test compounds on the activity of the protein kinases GSK-3β, VEGFR-2 and FLT-3 was evaluated based on half maximal inhibitory concentration (IC50) values determined by Millipore UK Ltd; Gemini Crescent; Dundee Technology Park; Dundee DD2 1SW; UK (IC50Profiler). Detailed protocols can be found at: www.millipore.com/drugdiscovery/dd3/assayprotocols.",2015.0
,CN(C)S(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](N)CC3)nc3c(Br)cnn23)cc1,IC50,3400.0,nM,5.47,Glycogen synthase kinase-3 beta,,,Inhibitory concentration for Glycogen synthase kinase-3 beta was determined in the presence of 10 um ATP (Km 50 uM),2005.0
,COC(=O)c1csc(CN2CCC(CNC(=O)c3n[nH]c4ccc(OC)cc34)CC2)n1,IC50,130.0,nM,6.89,Glycogen synthase kinase-3 beta,,,Inhibition of human recombinant GSK-3beta using Ulight-CFFKNIVTPRTPPPSQQGK-amide as substrate after 90 mins by LANCE assay,2015.0
,COc1ccc2[nH]nc(C(=O)NCC3CCN(CCc4ccc(O)cc4)CC3)c2c1,IC50,350.0,nM,6.46,Glycogen synthase kinase-3 beta,,,Inhibition of human recombinant GSK-3beta using Ulight-CFFKNIVTPRTPPPSQQGK-amide as substrate after 90 mins by LANCE assay,2015.0
,Cc1nc(C2CCCCC2)nc(Nc2n[nH]c3ncc(F)cc23)c1C,IC50,13.0,nM,7.89,Glycogen synthase kinase-3 beta,244251,,Inhibition Assay: Compounds are screened for their ability to inhibit the phosphorylation of tyrosine (TYR) residues through the use of western blotting of Jurkat cells dosed with the compounds. The phosphorylation of the specific TYR residues tested are GSK3α TYR 279 and GSK3β TYR 216.,2014.0
,Fc1cnc2[nH]nc(Nc3cc(C(F)(F)F)cc(-c4ccccc4Cl)n3)c2c1,IC50,50.0,nM,7.3,Glycogen synthase kinase-3 beta,251326,,"Inhibition Assay: Compounds of the present invention were screened for their ability to inhibit GSK-3β (AA 1-420) activity using a standard coupled enzyme system (Fox et al., Protein Sci. 1998, 7, 2249). Reactions were carried out in a solution containing 100 mM HEPES (pH 7.5), 10 mM MgCl2, 25 mM NaCl, 300 μM NADH, 1 mM DTT and 1.5% DMSO. Final substrate concentrations in the assay were 20 μM ATP (Sigma Chemicals, St Louis, Mo.) and 300 μM peptide (American Peptide, Sunnyvale, Calif.). Reactions were carried out at 30 C. and 20 nM GSK-3β. Final concentrations of the components of the coupled enzyme system were 2.5 mM phosphoenolpyruvate, 300 μM NADH, 30 μg/ml pyruvate kinase and 10 μg/ml lactate dehydrogenase.",2014.0
,Cn1c(NCCC2CCCCC2)nc(-c2ccncc2)cc1=O,IC50,39.0,nM,7.41,Glycogen synthase kinase-3 beta,,,Inhibition of human recombinant GSK3beta using prephosphorylated GS1 peptide as substrate after 1 hr by liquid scintillation spectrometry,2013.0
,O=C(Nc1ccc2cn[nH]c2c1)c1ccc(Cl)cc1,Ki,6309.57,nM,,Glycogen synthase kinase-3 beta,inactive,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,CCOC(=O)c1c(NC(=O)C2C(C)(C)C2(C)C)sc2cnccc12,Ki,3981.07,nM,5.4,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,Ki,6309.57,nM,,Glycogen synthase kinase-3 beta,inactive,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,CCOc1ccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)cc1NC(=O)Cc1ccccc1,Ki,3981.07,nM,,Glycogen synthase kinase-3 beta,inactive,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,COc1cccc(C(C)NC(=O)c2cnc(-c3ccncc3)s2)c1,Ki,630.96,nM,6.2,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,c1ccc(Cn2cc(-c3ccc4[nH]nc(-c5ccccc5)c4c3)nn2)cc1,Ki,19.95,nM,7.7,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,Cc1ccccc1Nc1nccc(-c2c(-c3cccc(NC(=O)c4ccccc4)c3)nc3sccn23)n1,Ki,3981.07,nM,,Glycogen synthase kinase-3 beta,inactive,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,Cn1cncc1C(OCc1c(-c2ccc(OC(F)(F)F)cc2)cc(C#N)c(=O)n1C)c1ccc(C#N)cc1,Ki,2511.89,nM,5.6,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,Cc1ccccc1-n1cc(-c2ccccn2)nn1,IC50,490.0,nM,6.31,Glycogen synthase kinase-3 beta,,,Inhibition of GSK3-beta by colorimetric analysis,2012.0
,Nc1n[nH]c2c(OCCCn3cccc3)ccc(-c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)c12,Ki,3981.07,nM,,Glycogen synthase kinase-3 beta,inactive,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,NC(=O)c1ccc2nc(-c3ccc([N+](=O)[O-])o3)cn2c1,Ki,398.11,nM,6.4,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,CN1CCN(c2ccc(Nc3ncc(Cl)c(Nc4ccc5[nH]ncc5c4)n3)cc2)CC1,Ki,3981.07,nM,,Glycogen synthase kinase-3 beta,inactive,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,O=C(Nc1cnccn1)Nc1ccnc2ccc(C(F)(F)F)cc12,Ki,3.981,nM,8.4,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,c1ccc(CNc2nc3ccc(-c4ccncc4)cc3s2)cc1,Ki,6309.57,nM,,Glycogen synthase kinase-3 beta,inactive,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,CN1CCN(CCCNc2cccc(-c3nc4c(C(N)=O)cccc4[nH]3)n2)CC1,Ki,6309.57,nM,,Glycogen synthase kinase-3 beta,inactive,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,COc1cc2c(cc1OC)CN(CC(=O)Nc1ccc3c(c1)/C(=C/c1cnc[nH]1)C(=O)N3)CC2,IC50,272.0,nM,6.57,Glycogen synthase kinase-3 beta,,,Inhibition of GSK3beta (unknown origin) in presence of 10 uM ATP incubated for 1 hr by Z'Lyte assay,2015.0
,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(=O)C3CCCC3)c2)[nH]1,IC50,136.0,nM,6.87,Glycogen synthase kinase-3 beta,,,Competitive inhibition of human recombinant full length GSK3beta using YRRAAVPPSPSLSRHSSPHQ(pS)EDEEE as substrate preincubated with enzyme for 10 mins followed by substrate and 25 uM ATP addition measured after 60 mins by ADP-Glo luminescence assay,2019.0
,COc1ccc2[nH]nc(C(=O)NCC3CCN(Cc4ccccc4)CC3)c2c1,IC50,250.0,nM,6.6,Glycogen synthase kinase-3 beta,,,Inhibition of human recombinant GSK-3beta using Ulight-CFFKNIVTPRTPPPSQQGK-amide as substrate after 90 mins by LANCE assay,2015.0
,COC(=O)c1coc(CN2CCC(CNC(=O)c3n[nH]c4ccc(OC)cc34)CC2)n1,IC50,210.0,nM,6.68,Glycogen synthase kinase-3 beta,335724,,"LanthaScreen TR-FRET Assay: Activity on human GSK-3beta was assessed using the following methods (according to Meijer et al., Chem. Biol., 2003-10:1255-1266).In a first screening assay, compounds were tested in duplicate at a concentration of 10 uM.Human recombinant enzyme GSK-3beta was incubated for 90 minutes at 22° C. in the presence of compounds or vehicle in a reaction buffer containing ATP plus 100 nM unphosphorylated specific substrate peptide (Ulight-CFFKNIVTPRTPPPSQGK-amide). Substrate phosphorylation was measured by LANCE technology (PerkinElmer, Conn., USA). The results, reported in the following Table 4, are expressed as a percent of inhibition of control specific activity obtained in the presence of the test compounds (as % inhibition at 10 um). In a second assay, the same compounds were assayed at five concentrations ranging from 100 uM to 10 nM with ten-fold dilutions in duplicate.",2015.0
,Cc1cc(Nc2n[nH]c3ccc(F)cc23)nc(C2CCCCC2)n1,IC50,25.0,nM,7.6,Glycogen synthase kinase-3 beta,244263,,Inhibition Assay: Compounds are screened for their ability to inhibit the phosphorylation of tyrosine (TYR) residues through the use of western blotting of Jurkat cells dosed with the compounds. The phosphorylation of the specific TYR residues tested are GSK3α TYR 279 and GSK3β TYR 216.,2014.0
,COc1cccc(-n2ncc3c(N/N=C/c4cccc(N)c4)ncnc32)c1,IC50,10.0,nM,8.0,Glycogen synthase kinase-3 beta,,,"Ability to inhibit 50% glycogen synthase kinase-3 beta of recombinant human, expressed as log of concentration",2004.0
,COc1ccc(CNC(=O)Nc2nc3ccc(C#N)cc3[nH]2)cc1,IC50,86.0,nM,7.07,Glycogen synthase kinase-3 beta,,,Inhibition of recombinant human GSK3beta using prephosphorylated peptide as substrate measured after 30 mins by Kinase-glo luminescence assay,2019.0
,O=C(Nc1cc(-c2ccc3ccncc3c2)ccn1)C1CC1,IC50,74.0,nM,7.13,Glycogen synthase kinase-3 beta,,,Inhibition of GSK3beta (unknown origin) activity by competitive binding assay,2015.0
,COc1cccc(-n2ncc3c(N/N=C/c4ccc(CN(C)C)cc4)ncnc32)c1,IC50,5.012,nM,8.3,Glycogen synthase kinase-3 beta,,,"Ability to inhibit 50% glycogen synthase kinase-3 beta of recombinant human, expressed as log of concentration",2004.0
,COc1ccc(CNC(=O)Nc2nc3ccc(C(C)=O)cc3[nH]2)cc1,IC50,260.0,nM,6.58,Glycogen synthase kinase-3 beta,,,Inhibition of recombinant human GSK3beta using prephosphorylated peptide as substrate measured after 30 mins by Kinase-glo luminescence assay,2019.0
,Fc1cc(F)cc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCO5)o3)cc2)c1,IC50,195.0,nM,6.71,Glycogen synthase kinase-3 beta,,,Inhibition of human recombinant GSK3beta by FRET assay,2013.0
,O=[N+]([O-])c1cccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCCO5)o3)cc2)c1,IC50,164.0,nM,6.79,Glycogen synthase kinase-3 beta,,,Inhibition of human recombinant GSK3beta by FRET assay,2013.0
,O=[N+]([O-])c1cccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCO5)o3)cc2)c1,IC50,86.0,nM,7.07,Glycogen synthase kinase-3 beta,,,Inhibition of human recombinant GSK3beta by FRET assay,2013.0
,N#Cc1cc(F)ccc1-c1ccc(CSc2nnc(-c3ccncc3)o2)cc1,IC50,56.0,nM,7.25,Glycogen synthase kinase-3 beta,,,Inhibition of human recombinant GSK3beta by FRET assay,2013.0
,CC(=O)Nc1cc(-c2nnc(SCc3cccc(C#N)c3)o2)ccn1,IC50,19.0,nM,7.72,Glycogen synthase kinase-3 beta,,,Inhibition of human recombinant GSK3beta by FRET assay,2013.0
,NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccccc1,IC50,1390.0,nM,5.86,Glycogen synthase kinase-3 beta,,,Inhibition of GSK3-beta,2010.0
,COc1ccccc1[C@H]1CN(c2cc(-c3ccncn3)cc(=O)n2C)CCO1,IC50,6.1,nM,8.21,Glycogen synthase kinase-3 beta,,,Inhibition of human recombinant GSK3-beta expressed in baculovirus infected SF9 cells after 60 mins,2011.0
,CCCC(=O)Nc1n[nH]c2cc(-c3ccoc3)ccc12,IC50,260.0,nM,6.58,Glycogen synthase kinase-3 beta,,,Inhibition of human recombinant GSK3-beta using gamma[33P]-ATP after 30 mins by scintillation proximity assay,2010.0
,CCCC(=O)Nc1n[nH]c2cc(Cl)c(Br)cc12,IC50,55.0,nM,7.26,Glycogen synthase kinase-3 beta,,,Inhibition of human recombinant GSK3-beta using gamma[33P]-ATP after 30 mins by scintillation proximity assay,2010.0
,CC(=O)N1CC[C@@H](Nc2cncc(C(=O)c3cn(C(C)C)c4ncnc(N)c34)n2)[C@H]1c1ccc(F)cc1,IC50,340.0,nM,6.47,Glycogen synthase kinase-3 beta,,,Inhibition of GSK3-beta,2011.0
,O=C(Nc1cnccc1-c1ccccc1)c1ccnc(NC(=O)C2CC2)c1,IC50,9.8,nM,8.01,Glycogen synthase kinase-3 beta,,INHIBITOR,Inhibition of GST tagged GSK-3beta (unknown origin) incubated for 1 hrs by HTRF assay,2016.0
,O=C(Nc1cnccc1-c1ccc(F)cc1C(F)(F)F)c1ccnc(NC(=O)C2CC2)c1,IC50,0.87,nM,9.06,Glycogen synthase kinase-3 beta,,INHIBITOR,Inhibition of GST tagged GSK-3beta (unknown origin) incubated for 1 hrs by HTRF assay,2016.0
,COc1ccc(C=C2SC(=Nc3ccccc3)NC2=O)cc1O,Ki,3162.28,nM,5.5,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,CC(C)(C)c1cc(NC(=O)Nc2cccc3ccccc23)n(-c2cccc(C(=O)NCCCCO)c2)n1,Ki,3981.07,nM,,Glycogen synthase kinase-3 beta,inactive,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,COc1ccc(NC(=O)Nc2ccc(-c3csc4c(-c5cnn(CC(O)CO)c5)cnc(N)c34)cc2)cc1,Ki,2511.89,nM,5.6,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,Ki,2511.89,nM,,Glycogen synthase kinase-3 beta,inactive,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,COc1nccn2c(-c3ccnc(NCC(C)(C)CO)n3)c(-c3ccc(F)cc3F)nc12,Ki,6309.57,nM,,Glycogen synthase kinase-3 beta,inactive,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,O=C(Nc1ccc([N+](=O)[O-])cc1)N1CCc2[nH]c3c(Cl)cc(Cl)cc3c2C1,Ki,3162.28,nM,5.5,Glycogen synthase kinase-3 beta,active,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,CC(C)(C)C(=O)Oc1ccc2c(c1)nc(NC(=O)c1cccc([N+](=O)[O-])c1)n2CCCO,Ki,6309.57,nM,,Glycogen synthase kinase-3 beta,inactive,,PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: GSK3B,
,COc1nc(-c2ccnc(NC(=O)C3CC3)c2)ncc1C(N)=O,IC50,5.9,nM,8.23,Glycogen synthase kinase-3 beta,,,Inhibition of GSK3beta (unknown origin) activity by competitive binding assay,2015.0
,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc(Nc4ccccc4)n3)c3ccccc23)cc1,Kd,1200.0,nM,5.92,Glycogen synthase kinase-3 beta,304681,,"Enzyme Inhibition Assay: The kinase enzyme binding activities of compounds disclosed herein were determined using a proprietary assay which measures active site-directed competition binding to an immobilized ligand (Fabian, M. A. et al., Nature Biotechnol., 2005, 23:329-336). These assays were conducted by DiscoverX (formerly Ambit; San Diego, Calif.). The Kd value (Dissociation constant value) was calculated as the index of affinity of the compounds to each kinase. The enzyme inhibitory activities of compounds disclosed herein were determined by FRET using synthetic peptides labelled with both donor and acceptor fluorophores (Z-LYTE, Invitrogen Ltd., Paisley, UK). In all cases, the site-specific protease cleaves non-phosphorylated peptide only and eliminates the FRET signal. Phosphorylation levels of each reaction were calculated using the ratio of coumarin emission (donor) over fluorescein emission (acceptor), for which low ratios indicate high phosphorylation and high ratios indicate low phosphorylation levels.",2015.0
,Cc1cc(Nc2n[nH]c3ncc(F)cc23)nc(C2CCCCCC2)n1,IC50,10.0,nM,8.0,Glycogen synthase kinase-3 beta,244254,,Inhibition Assay: Compounds are screened for their ability to inhibit the phosphorylation of tyrosine (TYR) residues through the use of western blotting of Jurkat cells dosed with the compounds. The phosphorylation of the specific TYR residues tested are GSK3α TYR 279 and GSK3β TYR 216.,2014.0
,CS(=O)(=O)Nc1ccc(CCNC(=O)c2ccc(O)c3[nH]c(C4CCCC4)nc23)cc1,IC50,44.0,nM,7.36,Glycogen synthase kinase-3 beta,,,Inhibition of GSK3-beta,2012.0
,Cn1c(N2CCCCC2)cc(-c2ccncn2)cc1=O,IC50,62.0,nM,7.21,Glycogen synthase kinase-3 beta,,,Inhibition of human recombinant GSK3-beta expressed in baculovirus infected SF9 cells after 60 mins,2011.0
,O=C1NCCOc2cc(-c3ccnc(NC(=O)C4CC4)c3)ccc21,IC50,4.7,nM,8.33,Glycogen synthase kinase-3 beta,,,Inhibition of GSK3beta (unknown origin) activity by competitive binding assay,2015.0
,O=C1NCCCc2cc(-c3ccnc(NC(=O)C4CC4)c3)ccc21,IC50,2.4,nM,8.62,Glycogen synthase kinase-3 beta,,,Inhibition of GSK3beta (unknown origin) activity by competitive binding assay,2015.0
,O=C1NCc2cc(-c3ccnc(NC(=O)C4CC4)c3)ccc21,IC50,11.0,nM,7.96,Glycogen synthase kinase-3 beta,,,Inhibition of GSK3beta (unknown origin) activity by competitive binding assay,2015.0
,CC(C)Oc1nc(-c2ccnc(NC(=O)C3CC3)c2)sc1C(N)=O,IC50,0.45,nM,9.35,Glycogen synthase kinase-3 beta,,,Inhibition of GSK3beta (unknown origin) activity by competitive binding assay,2015.0
,CCCCNc1nccc(-c2cc(C(=O)NCCCc3cccnc3)c(=O)[nH]n2)n1,IC50,36.0,nM,7.44,Glycogen synthase kinase-3 beta,,,Inhibition of human GSK3-beta,2009.0
,O=c1sn(CCc2ccccc2)c(=O)n1Cc1ccccc1,IC50,3000.0,nM,5.52,Glycogen synthase kinase-3 beta,,,Inhibition of human GSK3-beta,2009.0
,Fc1cccc(CSc2nnc(-c3ccc4c(c3)CCO4)o2)c1,IC50,54.0,nM,7.27,Glycogen synthase kinase-3 beta,,,Inhibition of human GSK3-beta,2009.0
,Clc1ccc(CSc2nnc(-c3ccc4c(c3)CCO4)o2)cc1,IC50,280.0,nM,6.55,Glycogen synthase kinase-3 beta,,,Inhibition of human GSK3-beta,2009.0
